@relation "A_B"

@attribute attr0 string
@attribute attr1 string
@attribute attr2 string
@attribute attr3 string
@attribute attr4 string
@attribute relation {'A', 'B'}
@attribute class {'ID44461220129', 'ID4450127238399810001', 'ID4450127238399810002', 'ID4450127238399810003', 'ID4447124106889910001', 'ID4449126128929710001', 'ID4450127238399810004', 'ID4447124106889910002', 'ID4449126128929710002', 'ID4449126128929710003', 'ID4449126128929710004', 'ID4448125110715010001', 'ID4448125110715010002', 'ID4448125110715010003', 'ID4447124106921010001', 'ID4448125110715010004', 'ID4447124106921010002', 'ID4447124106900410001', 'ID4448125110715010005', 'ID4448125110819010001', 'ID4448125110819010002', 'ID4450127238404610001', 'ID4448125110819010003', 'ID4450127238374110001', 'ID4450127238404610002', 'ID4448125110819010004', 'ID4450127238353510001', 'ID4450127238374110002', 'ID4448125110815810001', 'ID4450127238353510002', 'ID4450127238374110003', 'ID4450127238353510003', 'ID4450127238391510001', 'ID4448125110815810003', 'ID4450127238370910001', 'ID4450127238353510004', 'ID4450127238391510002', 'ID4448125110815810004', 'ID4449126128942010001', 'ID4448125110815810005', 'ID4447124106881610001', 'ID4446117475', 'ID4449126128942010002', 'ID4449126128942010003', 'ID4449126128942010004', 'ID4446117397', 'ID4446117479', 'ID4446117398', 'ID4448125110701010001', 'ID4448125110701010002', 'ID4448125110701010003', 'ID4448125110701010004', 'ID4448125110701010005', 'ID4448125110701010006', 'ID4448125110822410001', 'ID4448125110822410002', 'ID4448125110801810001', 'ID4448125110822410003', 'ID4448125110801810002', 'ID4448125110822410004', 'ID4445112314666410001', 'ID4445112314666410002', 'ID4447124106925120002', 'ID4450127238407910001', 'ID4450127238398010001', 'ID4450127238407910002', 'ID4450127238377410001', 'ID4450127238398010002', 'ID4450127238356810001', 'ID4450127238377410002', 'ID4450127238356810002', 'ID4450127238377410003', 'ID444611540953', 'ID44461220142', 'ID4450127238356810003', 'ID444611540954', 'ID444611540955', 'ID4449126128945310001', 'ID4449126128945310002', 'ID44461160351', 'ID4447124106899810001', 'ID4449126128939610001', 'ID4447124106899810002', 'ID4449126128939610002', 'ID4447124106910310001', 'ID4447124106910310002', 'ID4447124106910310003', 'ID4448125110808310001', 'ID4448125110808310002', 'ID4450127238384010001', 'ID4448125110808310003', 'ID4450127238384010002', 'ID4448125110808310004', 'ID4447124106904610001', 'ID4450127238384010003', 'ID4448125110808310005', 'ID4448125110795210001', 'ID4447124106904610002', 'ID4447124106874110001', 'ID4450127238384010004', 'ID444611541056', 'ID4450127238380810001', 'ID4450127238384010005', 'ID4450127238380810002', 'ID4447124106891510001', 'ID4449126128931310001', 'ID4450127238380810003', 'ID4449126128931310002', 'ID4450127238380810004', 'ID44461220231', 'ID44461160444', 'ID4448125110800010001', 'ID4450127238406110001', 'ID4448125110811710001', 'ID4450127238355010001', 'ID4450127238355010002', 'ID4445113314675510001', 'ID4445113314675510002', 'ID4445113314675510003', 'ID4450127238349310001', 'ID4450127238349310002', 'ID4450127238349310003', 'ID4450127238387310001', 'ID4450127238366710001', 'ID4450127238387310002', 'ID4447124106898010001', 'ID4447124106907910001', 'ID4450127238366710002', 'ID4450127238387310003', 'ID4447124106898010002', 'ID4447124106877410001', 'ID4449126128949510001', 'ID44461161345', 'ID445012723840870000', 'ID4449126128928910001', 'ID4449126128949510002', 'ID4446121011', 'ID4449126128928910002', 'ID4447124106920210001', 'ID4445113314682110001', 'ID4447124106920210002', 'ID4445113314682110002', 'ID4448125110818210001', 'ID4450127238403810001', 'ID4450127238403810002', 'ID4447124106914510001', 'ID4450127238352710001', 'ID4447124106914510002', 'ID4450127238352710002', 'ID4450127238390710001', 'ID4450127238352710003', 'ID4450127238390710002', 'ID4450127238390710003', 'ID4449126128941210001', 'ID4447124106880810001', 'ID4450127238390710004', 'ID4449126128941210002', 'ID4447124106880810002', 'ID4450127238390710005', 'ID4447124106880810003', 'ID44461221227', 'ID444712410689230000', 'ID4446120210', 'ID4448125110804210001', 'ID4448125110821610001', 'ID4448125110821610002', 'ID4448125110821610003', 'ID4447124106906110001', 'ID4447124106906110002', 'ID4445112314665610001', 'ID4445112314665610002', 'ID4450127238359210001', 'ID4450127238359210002', 'ID4450127238397210001', 'ID4450127238397210002', 'ID4450127238376610001', 'ID4447124106917810001', 'ID4445113314679710001', 'ID4450127238397210003', 'ID4450127238376610002', 'ID4447124106917810002', 'ID4447124106887310001', 'ID4449126128927110001', 'ID4450127238397210004', 'ID4450127238376610003', 'ID4447124106887310002', 'ID4449126128927110002', 'ID4450127257775510001', 'ID4447124106887310003', 'ID4449126128927110003', 'ID4450127257775510002', 'ID4447124258794710001', 'ID4449126128938810001', 'ID4449126128938810002', 'ID44461181048', 'ID445012723837740000', 'ID4449126128938810003', 'ID44461181049', 'ID4449126128938810004', 'ID4445112314672210001', 'ID4445112314672210002', 'ID4445112314672210003', 'ID4448125110807510001', 'ID4450127238383210001', 'ID4447124106924410001', 'ID4450127238362610001', 'ID4450127238383210002', 'ID4450127238362610002', 'ID4450127238383210004', 'ID4450127238383210005', 'ID4447124106890710001', 'ID4449126128930510001', 'ID4447124106890710002', 'ID4449126128930510002', 'ID4447124106890710003', 'ID4449126128930510003', 'ID4447124106890710004', 'ID4448125110699610001', 'ID4449126128930510004', 'ID4450127238394910001', 'ID4447124106890710005', 'ID4448125110699610002', 'ID4449126128930510005', 'ID4450127238394910002', 'ID4447124106890710006', 'ID4448125110699610003', 'ID4450127238394910003', 'ID4450127238394910004', 'ID4450127238405310001', 'ID4450127238405310002', 'ID4447124106916010001', 'ID4448125110670710002', 'ID4448125110670710003', 'ID4450127238369110001', 'ID4450127238348510001', 'ID4450127238386510001', 'ID4450127238386510002', 'ID4447124106897210001', 'ID4449126128937010001', 'ID4450127238386510003', 'ID4450127238365910002', 'ID4447124106876610001', 'ID4447124106897210002', 'ID4449126128937010002', 'ID4447124106876610002', 'ID4447124106897210003', 'ID4447124106897210004', 'ID4447124106897210005', 'ID44461230326', 'ID44461160650', 'ID44461230328', 'ID4449126128948710001', 'ID4449126128948710002', 'ID4449126128948710003', 'ID444712425879540000', 'ID4445113314681310001', 'ID4445113314681310002', 'ID4445113314681310003', 'ID4448125110817410001', 'ID4445113314681310004', 'ID4445113314681310005', 'ID4450127238393110001', 'ID4445113314681310006', 'ID4450127238393110002', 'ID4447124106913710001', 'ID4450127238372510001', 'ID4450127238393110003', 'ID4447124106883210001', 'ID4447124106913710002', 'ID4447124106883210002', 'ID4447124106913710003', 'ID4447124106913710004', 'ID4447124106913710005', 'ID4449126128940410001', 'ID4449126128940410002', 'ID44461230330', 'ID4448125110798610001', 'ID4448125110798610002', 'ID44461230332', 'ID4448125110798610003', 'ID4447124106894910001', 'ID4448125110798610004', 'ID44461220533', 'ID444611554', 'ID4449126128934710001', 'ID4447124106894910002', 'ID4449126128934710002', 'ID4449126128934710003', 'ID4449126128934710004', 'ID4448125110714310001', 'ID4448125110803410001', 'ID4448125110714310002', 'ID4448125110803410002', 'ID4448125110714310003', 'ID4448125110803410003', 'ID4448125110820810001', 'ID4448125110803410004', 'ID4447124106905310001', 'ID4447124106905310002', 'ID4450127238409510001', 'ID4450127238409510002', 'ID4450127238379010001', 'ID4450127238409510003', 'ID4450127238379010002', 'ID4450127238358410001', 'ID4450127238379010003', 'ID4450127238396410001', 'ID4450127238379010004', 'ID4450127238375810001', 'ID4445113314678910001', 'ID4447124106886510001', 'ID4449126128926310001', 'ID4445113314678910002', 'ID4447124106886510002', 'ID444611561', 'ID4449126128926310002', 'ID444611482', 'ID444611563', 'ID44461220543', 'ID444611486', 'ID4450127238401210001', 'ID4450127238401210002', 'ID4450127238401210003', 'ID4450127238350110001', 'ID4450127238350110002', 'ID4445112314671410001', 'ID4445112314671410002', 'ID4445112314671410003', 'ID4445112314671410004', 'ID4450127238382410001', 'ID4447124106923610001', 'ID4450127238382410002', 'ID4450127238361810001', 'ID4447124106923610002', 'ID4450127238382410003', 'ID4450127238361810002', 'ID4447124106923610003', 'ID4450127238382410004', 'ID4450127238361810003', 'ID4450127238382410005', 'ID4450127238361810004', 'ID4449126128950310001', 'ID4450127238361810005', 'ID4449126128950310002', 'ID4448125110698810001', 'ID4448125110698810002', 'ID4449126128944610001', 'ID4449126128944610002', 'ID4447124106915210001', 'ID4445113314677110001', 'ID4445113314677110002', 'ID4445113314677110003', 'ID4445113314677110004', 'ID4447124106909510001', 'ID4450127238368310001', 'ID4447124106879010001', 'ID4447124106909510002', 'ID4450127238368310002', 'ID4447124106879010002', 'ID4447124106909510003', 'ID4450127238368310003', 'ID4447124106879010003', 'ID4450127238368310004', 'ID4450127238385710001', 'ID4447124106896410001', 'ID4450127238368310005', 'ID4450127238385710002', 'ID4449126128936210001', 'ID4447124106875810001', 'ID4450127238385710003', 'ID4449126128936210002', 'ID4447124106875810002', 'ID4449126128936210003', 'ID4449126128936210004', 'ID4449126128947910001', 'ID4449126128947910002', 'ID4449126128947910003', 'ID4450127238360010001', 'ID4450127238360010002', 'ID4445113314680510001', 'ID4445113314680510002', 'ID4445113314680510003', 'ID4448125110816610001', 'ID4450127238354310001', 'ID4445113314680510004', 'ID4448125110816610002', 'ID4450127238354310002', 'ID4445113314680510005', 'ID4448125110816610003', 'ID4450127238354310003', 'ID4445113314680510006', 'ID4450127238371710001', 'ID4447124106912910001', 'ID4448125110816610004', 'ID4445113314674810001', 'ID4450127238371710002', 'ID4447124106882410001', 'ID4447124106912910002', 'ID4448125110816610005', 'ID4445113314674810002', 'ID4447124106882410002', 'ID4447124106912910003', 'ID4445113314674810003', 'ID4447124106912910004', 'ID4445113314674810004', 'ID4447124106912910005', 'ID4445113314674810005', 'ID4448125110797810001', 'ID4448125110797810002', 'ID4448125110797810003', 'ID4449126128933910001', 'ID4449126128933910002', 'ID4447124258795410001', 'ID44461220734', 'ID4449126128933910003', 'ID44461191152', 'ID44461230536', 'ID444712426108480000', 'ID4448125110802610001', 'ID4448125110802610002', 'ID4448125110802610003', 'ID4448125110802610004', 'ID4445112314667210001', 'ID4445112314667210002', 'ID4445112314667210003', 'ID4445112314667210004', 'ID4445112314667210005', 'ID4445112314667210006', 'ID4450127238378210001', 'ID4450127238357610001', 'ID4447124106919410002', 'ID4450127238378210002', 'ID4450127238357610002', 'ID4450127238378210003', 'ID4450127238395610001', 'ID4450127238378210004', 'ID4450127238395610002', 'ID4449126128946110001', 'ID4447124106885710001', 'ID4449126128946110002', 'ID4449126128925510001', 'ID4449126128925510002', 'ID4450127238389910001', 'ID445012723837330000', 'ID4450127238389910002', 'ID44461161046', 'ID4450127238389910003', 'ID44461161047', 'ID445012723836910000', 'ID445012723838570000', 'ID444712410688570000', 'ID4448125110705110001', 'ID4450127238400410001', 'ID4448125110705110002', 'ID4447124106911110001', 'ID4445113314673010001', 'ID4447124106911110002', 'ID4445113314673010002', 'ID4445113314673010003', 'ID4445112314670610001', 'ID4445113314673010004', 'ID4445112314670610002', 'ID4445113314673010005', 'ID4450127238364210001', 'ID4450127238364210002', 'ID4448125110805910001', 'ID4448125110796010001', 'ID4448125110796010002', 'ID4445112314664910001', 'ID4447124106922810001', 'ID4450127238381610001', 'ID4447124106922810002', 'ID4447124106892310001', 'ID4450127238381610002', 'ID4449126128932110001', 'ID4447124106922810003', 'ID4447124106892310002', 'ID4450127238381610003', 'ID4449126128932110002', 'ID4447124106922810004', 'ID4450127238381610004', 'ID4449126128932110003', 'ID4449126128932110004', 'ID4449126128932110005', 'ID4449126128943810001', 'ID4449126128943810002', 'ID444712410690380000', 'ID4449126128943810003', 'ID445012723835840000', 'ID4448125110702810001', 'ID4448125110702810002', 'ID4448125110702810003', 'ID4448125110702810004', 'ID4445113314676310001', 'ID4445113314676310002', 'ID4445113314676310003', 'ID4450127238388110001', 'ID4450127238367510001', 'ID4447124106908710001', 'ID4450127238388110002', 'ID4447124106908710002', 'ID4447124106908710003', 'ID4449126128935410001'}

@data
"HOLMES", "FRANCISCO", "D", "108", "ELDORADO", 'A', 'ID4448125110808310003'
"HOLMES", "ERICK", "D", "108", "ELDORADO", 'A', 'ID4448125110808310004'
"HOLMES", "LUCILLE", "W", "108", "ELDORADO", 'A', 'ID4448125110808310001'
"HOLMES", "", "", "108", "ELDORADO", 'A', 'ID4448125110808310005'
"HUGGINCHES", "", "R", "109", "ELDORADO", 'A', 'ID4448125110822410001'
"HUGGINCHES", "", "R", "109", "ELDORADO", 'A', 'ID4448125110822410002'
"HUGGINCHES", "", "A", "109", "ELDORADO", 'A', 'ID4448125110822410004'
"HUGGINCHES", "", "M", "109", "ELDORADO", 'A', 'ID4448125110822410003'
"HUTCHINSON", "", "", "112", "ELDORADO", 'A', 'ID4448125110815810005'
"HUTCHINSON", "", "", "112", "ELDORADO", 'A', 'ID4448125110815810001'
"HUTCHINSON", "", "", "112", "ELDORADO", 'A', 'ID4448125110815810003'
"HUTCHINSON", "", "", "112", "ELDORADO", 'A', 'ID4448125110815810004'
"LEVEN", "", "M", "957", "CARL VINSON", 'A', 'ID4448125110817410001'
"MATKIN", "", "L", "6514", "MALIBU", 'A', 'ID4448125110702810002'
"MATKIN", "", "L", "6514", "MALIBU", 'A', 'ID4448125110702810003'
"MATKIN", "", "", "6514", "MALIBU", 'A', 'ID4448125110702810004'
"MATKIN", "", "", "6514", "MALIBU", 'A', 'ID4448125110702810001'
"OWENS", "", "L", "6508", "MALIBU", 'A', 'ID4448125110701010004'
"OWENS", "", "G", "6508", "MALIBU", 'A', 'ID4448125110701010006'
"OWENS", "", "E", "6508", "MALIBU", 'A', 'ID4448125110701010001'
"OWENS", "", "T", "6508", "MALIBU", 'A', 'ID4448125110701010002'
"OWENS", "", "N", "6508", "MALIBU", 'A', 'ID4448125110701010003'
"OWENS", "", "S", "6508", "MALIBU", 'A', 'ID4448125110701010005'
"PAIGE", "", "", "106", "ELDORADO", 'A', 'ID4448125110807510001'
"SPRINGGS", "ROY", "", "113", "ELDORADO", 'A', 'ID4448125110820810001'
"SYKES", "", "", "4901", "MONTEGO", 'A', 'ID4448125110803410002'
"SYKES", "", "", "4901", "MONTEGO", 'A', 'ID4448125110803410003'
"SYKES", "", "", "4901", "MONTEGO", 'A', 'ID4448125110803410001'
"SYKES", "", "", "4901", "MONTEGO", 'A', 'ID4448125110803410004'
"THOMPSON", "ROSETTA", "", "6532", "MALIBU", 'A', 'ID4448125110804210001'
"TREZEVANT", "JACQUELINE", "M", "111", "ELDORADO", 'A', 'ID4448125110821610001'
"TREZEVANT", "ANA", "M", "111", "ELDORADO", 'A', 'ID4448125110821610002'
"TREZEVANT", "", "T", "111", "ELDORADO", 'A', 'ID4448125110821610003'
"WHITAKER", "", "F", "4913", "MONTEGO", 'A', 'ID4448125110802610002'
"WHITAKER", "", "C", "4913", "MONTEGO", 'A', 'ID4448125110802610001'
"WHITAKER", "", "M", "4913", "MONTEGO", 'A', 'ID4448125110802610003'
"WHITAKER", "", "T", "4913", "MONTEGO", 'A', 'ID4448125110802610004'
"1RUMOR", "DIWALDO", "A", "3820", "HWY 54", 'A', 'ID4450127238368310004'
"1RUMOR", "BERNADINA", "", "3820", "HWY 54", 'A', 'ID4450127238368310001'
"1RUMOR", "TERRAN", "L", "3820", "HWY 54", 'A', 'ID4450127238368310003'
"1RUMOR", "ZAKIYA", "A", "3820", "HWY 54", 'A', 'ID4450127238368310005'
"1RUMOR", "", "A", "3820", "HWY 54", 'A', 'ID4450127238368310002'
"ALSTIN", "LEO", "E", "612", "OCONEE", 'A', 'ID4450127238387310002'
"ALSTIN", "MICHEAL", "", "612", "OCONEE", 'A', 'ID4450127238387310003'
"ALSTIN", "ROSE", "", "612", "OCONEE", 'A', 'ID4450127238387310001'
"CAMPBELL", "ANTONINO", "E", "604", "OCONEE", 'A', 'ID4450127238383210002'
"CAMPBELL", "JESSICA", "A", "604", "OCONEE", 'A', 'ID4450127238383210001'
"CAMPBELL", "MARINELA", "E", "604", "OCONEE", 'A', 'ID4450127238383210004'
"CAMPBELL", "", "D", "604", "OCONEE", 'A', 'ID4450127238383210005'
"CARR", "DARRYL", "B", "501", "RUBY", 'A', 'ID4450127238376610001'
"CARR", "BERRY", "J", "501", "RUBY", 'A', 'ID4450127238376610003'
"CARR", "ROSELINE", "D", "501", "RUBY", 'A', 'ID4450127238376610002'
"CARTER", "RODRICK", "", "14135", "22ND", 'A', 'ID4450127238404610002'
"CARTER", "JOANNIE", "", "14135", "22ND", 'A', 'ID4450127238404610001'
"CAVAJEL", "ADMAN", "L", "607", "MARTIN LUTHER K", 'A', 'ID4450127238379010003'
"CAVAJEL", "STEPHEN", "D", "607", "MARTIN LUTHER K", 'A', 'ID4450127238379010004'
"CAVAJEL", "MALISSA", "L", "607", "MARTIN LUTHER K", 'A', 'ID4450127238379010001'
"CAVAJEL", "SARAH", "L", "607", "MARTIN LUTHER K", 'A', 'ID4450127238379010002'
"CHAMBARS", "LAWRENCE", "", "14180", "22ND", 'A', 'ID4450127238398010001'
"CHAMBARS", "EUGENE", "F", "14180", "22ND", 'A', 'ID4450127238398010002'
"COLBY", "", "J", "303", "MAIN", 'A', 'ID4450127238358410001'
"COUPE", "MARKO", "", "104", "GEORGE", 'A', 'ID4450127238350110001'
"COUPE", "", "P", "104", "GEORGE", 'A', 'ID4450127238350110002'
"CRIDER", "GUILLERMO", "E", "106", "WARE", 'A', 'ID4450127238362610001'
"CRIDER", "MARCO", "M", "106", "WARE", 'A', 'ID4450127238362610002'
"DAVIES", "W", "U", "14220", "22ND", 'A', 'ID4450127238399810001'
"DAVIES", "MICHELE", "N", "14220", "22ND", 'A', 'ID4450127238399810002'
"DAVIES", "RENEE", "M", "14220", "22ND", 'A', 'ID4450127238399810003'
"DAVIES", "SARAH", "N", "14220", "22ND", 'A', 'ID4450127238399810004'
"DEGRAENED", "GERARDO", "D", "128", "WARE", 'A', 'ID4450127238359210001'
"DEGRAENED", "ALLAN", "R", "128", "WARE", 'A', 'ID4450127238359210002'
"DORMAN", "", "W", "616", "OCONEE", 'A', 'ID4450127238389910001'
"DORMAN", "", "R", "616", "OCONEE", 'A', 'ID4450127238389910002'
"DORMAN", "", "N", "616", "OCONEE", 'A', 'ID4450127238389910003'
"DOWOKAKOKO", "GREG", "S", "103", "JOHNSON", 'A', 'ID4450127238354310001'
"DOWOKAKOKO", "A", "A", "103", "JOHNSON", 'A', 'ID4450127238354310003'
"DOWOKAKOKO", "", "A", "103", "JOHNSON", 'A', 'ID4450127238354310002'
"EASLEY", "MATTHEW", "", "613", "MARTIN LUTHER K", 'A', 'ID4450127238378210004'
"EASLEY", "FLORIPE", "D", "613", "MARTIN LUTHER K", 'A', 'ID4450127238378210001'
"EASLEY", "KERI", "D", "613", "MARTIN LUTHER K", 'A', 'ID4450127238378210002'
"EASLEY", "NILSA", "D", "613", "MARTIN LUTHER K", 'A', 'ID4450127238378210003'
"ELLIOTT", "CHERYL", "", "102", "CHURCH", 'A', 'ID4450127238355010001'
"ELLIOTT", "FLAINE", "A", "102", "CHURCH", 'A', 'ID4450127238355010002'
"ERVINE", "ALE JARDRO", "A", "601", "MARTIN LUTHER K", 'A', 'ID4450127238381610002'
"ERVINE", "JUAN", "E", "601", "MARTIN LUTHER K", 'A', 'ID4450127238381610003'
"ERVINE", "ZIONARA", "T", "601", "MARTIN LUTHER K", 'A', 'ID4450127238381610001'
"ERVINE", "", "E", "601", "MARTIN LUTHER K", 'A', 'ID4450127238381610004'
"FREY", "ETHNY", "B", "14225", "22ND", 'A', 'ID4450127238406110001'
"GARRETT", "SHAWNETT", "R", "124", "WARE", 'A', 'ID4450127238360010001'
"GARRETT", "HARRIET", "R", "124", "WARE", 'A', 'ID4450127238360010002'
"GORDON", "KRISTY", "L", "303", "WOODHAVEN", 'A', 'ID4450127238349310001'
"GORDON", "DIANE", "M", "303", "WOODHAVEN", 'A', 'ID4450127238349310002'
"GORDON", "ROSEMARIE", "", "303", "WOODHAVEN", 'A', 'ID4450127238349310003'
"GRANER", "DANIEL", "", "100", "GEORGE", 'A', 'ID4450127238352710002'
"GRANER", "ROBERT", "R", "100", "GEORGE", 'A', 'ID4450127238352710003'
"GRANER", "MARJORIE", "A", "100", "GEORGE", 'A', 'ID4450127238352710001'
"GREENE", "EDUARDSO", "A", "606", "OCONEE", 'A', 'ID4450127238384010001'
"GREENE", "SONDRA", "C", "606", "OCONEE", 'A', 'ID4450127238384010002'
"GREENE", "ANN", "A", "606", "OCONEE", 'A', 'ID4450127238384010003'
"GREENE", "MICHELE", "M", "606", "OCONEE", 'A', 'ID4450127238384010004'
"GREENE", "ROSETA", "A", "606", "OCONEE", 'A', 'ID4450127238384010005'
"GUIDETI", "", "D", "3454", "HWY 54", 'A', 'ID4450127238365910002'
"HAMMONDS", "JAMES", "C", "505", "RUBY", 'A', 'ID4450127238374110002'
"HAMMONDS", "LENWOOD", "M", "505", "RUBY", 'A', 'ID4450127238374110003'
"HAMMONDS", "TRACEY", "R", "505", "RUBY", 'A', 'ID4450127238374110001'
"HANKINS", "STEPHENE", "", "14215", "22ND", 'A', 'ID4450127238405310002'
"HANKINS", "PAYMM", "T", "14215", "22ND", 'A', 'ID4450127238405310001'
"HEAVENER", "", "R", "608", "OCONEE", 'A', 'ID4450127238385710001'
"HEAVENER", "", "R", "608", "OCONEE", 'A', 'ID4450127238385710003'
"HEAVENER", "", "V", "608", "OCONEE", 'A', 'ID4450127238385710002'
"HETTERICH", "JOHNNY", "", "503", "RUBY", 'A', 'ID4450127238375810001'
"HOLLEY", "MICHEAL", "T", "14170", "22ND", 'A', 'ID4450127238397210001'
"HOLLEY", "DIMON", "T", "14170", "22ND", 'A', 'ID4450127238397210003'
"HOLLEY", "KATHERINE", "A", "14170", "22ND", 'A', 'ID4450127238397210002'
"HOLLEY", "CHARLOTTE", "E", "14170", "22ND", 'A', 'ID4450127238397210004'
"HUDSON", "JACQUELINE", "", "3886", "HWY 54", 'A', 'ID4450127238372510001'
"HUSSEINKHEL", "ARCHIE", "", "614", "OCONEE", 'A', 'ID4450127238388110002'
"HUSSEINKHEL", "", "", "614", "OCONEE", 'A', 'ID4450127238388110001'
"KEARNS", "", "A", "626", "OCONEE", 'A', 'ID4450127238394910003'
"KEARNS", "", "", "626", "OCONEE", 'A', 'ID4450127238394910004'
"KEARNS", "", "E", "626", "OCONEE", 'A', 'ID4450127238394910001'
"KEARNS", "", "M", "626", "OCONEE", 'A', 'ID4450127238394910002'
"KEICHENBERG", "SUSAN", "L", "14150", "22ND", 'A', 'ID4450127238395610001'
"KEICHENBERG", "JUDY", "A", "14150", "22ND", 'A', 'ID4450127238395610002'
"KLEIMAN", "ANTONIO", "B", "622", "OCONEE", 'A', 'ID4450127238391510002'
"KLEIMAN", "JOCELYN", "V", "622", "OCONEE", 'A', 'ID4450127238391510001'
"LESKO", "CLEARANCE", "", "610", "OCONEE", 'A', 'ID4450127238386510001'
"LESKO", "BEN", "", "610", "OCONEE", 'A', 'ID4450127238386510002'
"LESKO", "", "", "610", "OCONEE", 'A', 'ID4450127238386510003'
"MACCIO", "ORESTE", "S", "106", "WARE", 'A', 'ID4450127238364210001'
"MACCIO", "OLIVIA", "E", "106", "WARE", 'A', 'ID4450127238364210002'
"MARTINEZ STG", "ERIKA", "M", "14255", "22ND", 'A', 'ID4450127238409510001'
"MARTINEZ STG", "", "", "14255", "22ND", 'A', 'ID4450127238409510002'
"MARTINEZ STG", "", "", "14255", "22ND", 'A', 'ID4450127238409510003'
"MCALLISTER", "GEOFFREY", "M", "14270", "22ND", 'A', 'ID4450127238403810002'
"MCALLISTER", "JEANETTE", "M", "14270", "22ND", 'A', 'ID4450127238403810001'
"MOHRING", "DOMINIQUE", "B", "701", "31ST", 'A', 'ID4450127257775510002'
"MOHRING", "JANICE", "M", "701", "31ST", 'A', 'ID4450127257775510001'
"MOSES", "SHIRLEG", "", "305", "WOODHAVEN", 'A', 'ID4450127238348510001'
"OBROCK", "", "G", "3732", "HWY 54", 'A', 'ID4450127238367510001'
"PEARL", "", "", "209", "MAIN", 'A', 'ID4450127238357610001'
"PEARL", "", "C", "209", "MAIN", 'A', 'ID4450127238357610002'
"RAGLIN", "REYAN", "", "14160", "22ND", 'A', 'ID4450127238396410001'
"REAVES", "", "B", "625", "MARTIN LUTHER K", 'A', 'ID4450127238377410001'
"REAVES", "", "J", "625", "MARTIN LUTHER K", 'A', 'ID4450127238377410003'
"REAVES", "", "D", "625", "MARTIN LUTHER K", 'A', 'ID4450127238377410002'
"RODRIGUEZ", "QUENTIN", "R", "14235", "22ND", 'A', 'ID4450127238407910002'
"RODRIGUEZ", "STEPHANIE", "R", "14235", "22ND", 'A', 'ID4450127238407910001'
"ROTHSHILD", "PHILLIP", "", "14240", "22ND", 'A', 'ID4450127238401210003'
"ROTHSHILD", "J", "L", "14240", "22ND", 'A', 'ID4450127238401210001'
"ROTHSHILD", "HILLIARD", "E", "14240", "22ND", 'A', 'ID4450127238401210002'
"RUDASILL", "DOMINIC", "A", "122", "WARE", 'A', 'ID4450127238361810002'
"RUDASILL", "SEPTIMIA", "E", "122", "WARE", 'A', 'ID4450127238361810004'
"RUDASILL", "KIMBERLY", "L", "122", "WARE", 'A', 'ID4450127238361810001'
"RUDASILL", "ALISA", "M", "122", "WARE", 'A', 'ID4450127238361810003'
"RUDASILL", "", "S", "122", "WARE", 'A', 'ID4450127238361810005'
"RUEHLING", "TRACIE", "D", "3870", "HWY 54", 'A', 'ID4450127238371710001'
"RUEHLING", "MELISSA", "A", "3870", "HWY 54", 'A', 'ID4450127238371710002'
"RUMOR", "", "A", "3840", "HWY 54", 'A', 'ID4450127238369110001'
"RUSSALL", "MYRIAM", "S", "624", "OCONEE", 'A', 'ID4450127238393110002'
"RUSSALL", "JORGE", "L", "624", "OCONEE", 'A', 'ID4450127238393110003'
"RUSSALL", "LYNNETTE", "C", "624", "OCONEE", 'A', 'ID4450127238393110001'
"SANTIAGO", "PELHAM", "", "101", "JOHNSON", 'A', 'ID4450127238353510002'
"SANTIAGO", "GEORGE", "L", "101", "JOHNSON", 'A', 'ID4450127238353510003'
"SANTIAGO", "ANGELA", "E", "101", "JOHNSON", 'A', 'ID4450127238353510001'
"SANTIAGO", "JESSEE", "T", "101", "JOHNSON", 'A', 'ID4450127238353510004'
"SQUILLANTE", "LUIS", "A", "3556", "HWY 54", 'A', 'ID4450127238366710001'
"SQUILLANTE", "GERAR", "", "3556", "HWY 54", 'A', 'ID4450127238366710002'
"SWAGOI", "CHARLES", "A", "600", "OCONEE", 'A', 'ID4450127238382410004'
"SWAGOI", "ISRAEL", "M", "600", "OCONEE", 'A', 'ID4450127238382410005'
"SWAGOI", "MARY CAROLE", "T", "600", "OCONEE", 'A', 'ID4450127238382410001'
"SWAGOI", "", "B", "600", "OCONEE", 'A', 'ID4450127238382410002'
"SWAGOI", "", "C", "600", "OCONEE", 'A', 'ID4450127238382410003'
"SYKS", "KATHERINE", "M", "14230", "22ND", 'A', 'ID4450127238400410001'
"TONSTALL", "NICHOLE", "L", "201", "MAIN", 'A', 'ID4450127238356810001'
"TONSTALL", "MARY", "C", "201", "MAIN", 'A', 'ID4450127238356810002'
"TONSTALL", "HARRIETT", "J", "201", "MAIN", 'A', 'ID4450127238356810003'
"WASHINGTON", "J", "P", "603", "MARTIN LUTHER K", 'A', 'ID4450127238380810001'
"WASHINGTON", "STEPHENS", "I", "603", "MARTIN LUTHER K", 'A', 'ID4450127238380810003'
"WASHINGTON", "AMAURY", "P", "603", "MARTIN LUTHER K", 'A', 'ID4450127238380810004'
"WASHINGTON", "XIOMARA", "E", "603", "MARTIN LUTHER K", 'A', 'ID4450127238380810002'
"WIESMAN", "", "V", "3850", "HWY 54", 'A', 'ID4450127238370910001'
"BELL", "GLORIANNE", "M", "7111", "3RD", 'A', 'ID4445112314664910001'
